Epic,User Story ID,User Story Description,Priority,Sprint,Estimation,Status,Acceptance Criteria
Data Input Management,US-01,"As a farmer, I want to enter soil nutrients (N, P, K), soil pH, rainfall, temperature, and humidity so that the system can analyze my land conditions.",High,Sprint 1,Easy,Done,"Given valid soil and climate values, when the user submits the form, then the system should accept the input successfully."
Data Validation,US-02,"As a user, I want the system to validate soil and climate inputs so that incorrect or unrealistic values do not affect predictions.",High,Sprint 1,Normal,Done,"Given invalid or missing values, when the form is submitted, then the system should display appropriate validation errors."
ML Model Integration,US-03,"As a system, I want to use a trained Random Forest model to predict the most suitable crop based on input parameters.",High,Sprint 2,Hard,To Do,"Given valid inputs, when prediction is triggered, then the system should return a crop recommendation."
Prediction Output,US-04,"As a farmer, I want to see the predicted crop clearly displayed so that I can easily understand the recommendation.",Medium,Sprint 2,Easy,To Do,"Given a successful prediction, when the result page loads, then the predicted crop name should be visible."
Error Handling,US-05,"As a user, I want the system to handle errors gracefully so that I am informed when prediction fails.",Medium,Sprint 2,Normal,To Do,"Given a system or model failure, when prediction is requested, then a clear error message should be shown."
Re-Prediction Support,US-06,"As a user, I want to modify input values and rerun predictions so that I can compare crop suitability.",Medium,Sprint 3,Easy,To Do,"Given updated input values, when prediction is re-run, then the system should generate a new result."
Agile Testing,US-07,"As a developer, I want to test each feature after every sprint so that defects are identified early.",Medium,Sprint 3,Normal,To Do,"Given a completed sprint feature, when testing is performed, then the feature should meet acceptance criteria."
Usability Improvement,US-08,"As a user, I want the interface to be simple and user-friendly so that non-technical users can use the system easily.",Low,Sprint 3,Easy,To Do,"Given the application interface, when a new user accesses it, then input and output should be easy to understand."
System Reliability,US-09,"As an agricultural researcher, I want consistent predictions for similar inputs so that results are reliable.",Low,Sprint 4,Normal,To Do,"Given similar input values, when predictions are run multiple times, then results should remain consistent."
Future Scalability,US-10,"As a product owner, I want the system to be scalable so that future features can be added in later sprints.",Low,Backlog,Not Specified,To Do,"Given the current architecture, when new features are planned, then the system should support extension."
